ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	strand	hsapiens_homolog_ensembl_gene	hsapiens_homolog_associated_gene_name	hsapiens_homolog_chromosome	hsapiens_homolog_chrom_start	hsapiens_homolog_chrom_end	hsapiens_homolog_orthology_type	hsapiens_homolog_orthology_confidence	hsapiens_homolog_perc_id	hsapiens_homolog_perc_id_r1	hsapiens_homolog_goc_score	hsapiens_homolog_wga_coverage
ENSMUSG00000006333	Rps9	7	3703993	3706897	1	ENSG00000170889	RPS9	19	54200809	54249003	ortholog_one2one	1	100	100	100	100
ENSMUSG00000007827	Ankrd26	6	118501308	118562226	-1	ENSG00000181626	ANKRD62	18	12093843	12129764	ortholog_one2one	0	23.9738	43.9477	0	51.06
ENSMUSG00000013091	Tmem190	7	4782937	4784341	1	ENSG00000160472	TMEM190	19	55376826	55378246	ortholog_one2one	1	66.2651	62.1469	100	100
ENSMUSG00000014542	Clec4f	6	83644542	83656187	-1	ENSG00000152672	CLEC4F	2	70808643	70820599	ortholog_one2one	0	49.2701	45.8404	50	100
ENSMUSG00000015053	Gata2	6	88193891	88207032	1	ENSG00000179348	GATA2	3	128479427	128493201	ortholog_one2one	1	97.9167	97.9167	100	100
ENSMUSG00000019254	Ppp1r12c	7	4481520	4501680	-1	ENSG00000125503	PPP1R12C	19	55090914	55117637	ortholog_one2one	1	81.7136	81.7136	100	100
ENSMUSG00000019734	Tmc4	7	3665790	3677553	-1	ENSG00000167608	TMC4	19	54160108	54173250	ortholog_one2one	1	76.2248	74.2978	100	99.67
ENSMUSG00000023349	Clec4n	6	123229843	123247021	1	ENSG00000205846	CLEC6A	12	8455962	8478330	ortholog_one2one	1	68.4211	68.4211	75	100
ENSMUSG00000030034	Ino80b	6	83121765	83125431	-1	ENSG00000115274	INO80B	2	74455087	74457944	ortholog_one2many	1	93.913	91.0112	100	100
ENSMUSG00000030034	Ino80b	6	83121765	83125431	-1	ENSG00000274049	INO80B-WBP1	2	74455088	74460884	ortholog_one2many	1	93.913	89.2562	100	99.54
ENSMUSG00000030108	Slc6a13	6	121300227	121337733	1	ENSG00000010379	SLC6A13	12	220621	262873	ortholog_one2one	1	91.0299	91.0299	50	100
ENSMUSG00000030109	Slc6a12	6	121343076	121365775	1	ENSG00000111181	SLC6A12	12	190077	214570	ortholog_one2one	1	85.3503	87.2964	50	100
ENSMUSG00000030134	Rasgef1a	6	118011438	118091546	1	ENSG00000198915	RASGEF1A	10	43194535	43266919	ortholog_one2one	1	93.6605	93.6605	100	100
ENSMUSG00000030147	Clec4b1	6	123049962	123071555	1	ENSG00000198178	CLEC4C	12	7729415	7751605	ortholog_one2many	0	48.8038	47.8873	0	57.19
ENSMUSG00000030148	Clec4a2	6	123106428	123143999	1	ENSG00000198178	CLEC4C	12	7729415	7751605	ortholog_one2many	0	32.8244	40.3756	0	NA
ENSMUSG00000030155	Clec2e	6	129091998	129100913	-1	ENSG00000069493	CLEC2D	12	9664969	9699553	ortholog_one2many	0	25.9259	28.866	25	47.73
ENSMUSG00000030157	Clec2d	6	129180615	129186534	1	ENSG00000069493	CLEC2D	12	9664969	9699553	ortholog_one2many	0	27.0531	28.866	50	NA
ENSMUSG00000030159	Clec1b	6	129397297	129409335	1	ENSG00000165682	CLEC1B	12	9985642	10013424	ortholog_one2one	1	63.7555	63.7555	25	100
ENSMUSG00000030160	Tmem52b	6	129512555	129519227	1	ENSG00000165685	TMEM52B	12	10170542	10191801	ortholog_one2one	1	78.4946	79.7814	100	100
ENSMUSG00000030316	Tamm41	6	115004381	115037876	-1	ENSG00000144559	TAMM41	3	11790442	11846919	ortholog_one2one	1	81.0089	81.0089	100	100
ENSMUSG00000030352	Tspan9	6	127961396	128143594	-1	ENSG00000011105	TSPAN9	12	3077355	3286564	ortholog_one2one	1	97.0711	97.0711	100	100
ENSMUSG00000030364	Clec2h	6	128662385	128677374	1	ENSG00000069493	CLEC2D	12	9664969	9699553	ortholog_one2many	0	26.6055	29.8969	25	NA
ENSMUSG00000030365	Clec2i	6	128887588	128898167	1	ENSG00000069493	CLEC2D	12	9664969	9699553	ortholog_one2many	0	21.9512	27.8351	0	NA
ENSMUSG00000030428	Ttyh1	7	4119408	4136708	1	ENSG00000167614	TTYH1	19	54415219	54436904	ortholog_one2one	1	86.5217	86.5217	100	100
ENSMUSG00000030431	Tmem238	7	4784557	4789656	-1	ENSG00000233493	TMEM238	19	55379244	55384292	ortholog_one2one	1	85.2273	85.2273	100	100
ENSMUSG00000030433	Sbk2	7	4940512	4964406	-1	ENSG00000187550	SBK2	19	55529733	55537089	ortholog_one2one	1	78.453	81.6092	100	100
ENSMUSG00000030435	U2af2	7	5062143	5079938	1	ENSG00000063244	U2AF2	19	55654146	55674715	ortholog_one2one	1	99.7895	99.7895	75	100
ENSMUSG00000033174	Mgll	6	88724412	88828360	1	ENSG00000074416	MGLL	3	127689062	128052190	ortholog_one2one	1	81.5047	83.0671	100	100
ENSMUSG00000033720	Sfxn5	6	85213049	85333422	-1	ENSG00000144040	SFXN5	2	72942036	73075619	ortholog_one2one	1	96.7836	97.3529	50	100
ENSMUSG00000034660	Galp	7	6197090	6216137	1	ENSG00000197487	GALP	19	56176008	56185775	ortholog_one2one	1	64.1026	64.6552	75	100
ENSMUSG00000034777	Vax2	6	83711264	83738313	1	ENSG00000116035	VAX2	2	70900576	70965373	ortholog_one2one	1	85.274	85.8621	100	100
ENSMUSG00000035203	Epn1	7	5080235	5098178	1	ENSG00000063245	EPN1	19	55675226	55709858	ortholog_one2one	1	90.2609	78.3988	50	100
ENSMUSG00000035228	Ccdc106	7	5020553	5060785	1	ENSG00000173581	CCDC106	19	55641062	55653161	ortholog_one2one	1	73.607	89.6429	75	100
ENSMUSG00000035285	Nat14	7	4922028	4925006	1	ENSG00000090971	NAT14	19	55485188	55487568	ortholog_one2one	1	95.1456	95.1456	100	100
ENSMUSG00000035429	Ptprh	7	4548612	4604041	-1	ENSG00000080031	PTPRH	19	55181247	55209506	ortholog_one2one	1	58.3934	50.852	100	91.65
ENSMUSG00000035458	Tnni3	7	4518305	4524229	-1	ENSG00000129991	TNNI3	19	55151767	55157773	ortholog_one2one	1	92.4171	92.8571	100	100
ENSMUSG00000035585	Tsen34	7	3692863	3701024	1	ENSG00000170892	TSEN34	19	54189938	54194536	ortholog_one2one	1	83.8608	84.127	100	100
ENSMUSG00000035596	Mboat7	7	3677789	3693523	-1	ENSG00000125505	MBOAT7	19	54173412	54189882	ortholog_one2one	1	93.0233	93.2203	100	100
ENSMUSG00000038527	C1rl	6	124493113	124510643	1	ENSG00000139178	C1RL	12	7089587	7109238	ortholog_one2one	1	73.2365	72.4846	100	100
ENSMUSG00000039958	Etfbkmt	6	149139849	149151171	1	ENSG00000139160	ETFBKMT	12	31647160	31673114	ortholog_one2one	1	79.6078	77.4809	100	100
ENSMUSG00000041681	Iapp	6	142298423	142303961	1	ENSG00000121351	IAPP	12	21354959	21379980	ortholog_one2one	1	63.4409	66.2921	100	100
ENSMUSG00000042279	H1f8	6	115944938	115950236	1	ENSG00000178804	H1-8	3	129543214	129551467	ortholog_one2one	0	44.7368	39.3064	100	100
ENSMUSG00000043290	Zfp784	7	5034439	5038446	-1	ENSG00000179922	ZNF784	19	55620741	55624566	ortholog_one2one	1	83.8384	77.0898	75	100
ENSMUSG00000043432	Leng9	7	4147915	4150374	-1	ENSG00000275183	LENG9	19	54461732	54463778	ortholog_one2one	1	57.1134	57.9498	100	100
ENSMUSG00000043832	Clec4a3	6	122952515	122969875	1	ENSG00000198178	CLEC4C	12	7729415	7751605	ortholog_one2many	0	35.865	39.9061	0	22.61
ENSMUSG00000044927	H1f10	6	87980421	87981637	-1	ENSG00000184897	H1-10	3	129314771	129316286	ortholog_one2one	1	75.5319	66.6667	50	100
ENSMUSG00000046323	Dppa3	6	122626410	122630272	1	ENSG00000187569	DPPA3	12	7711433	7717559	ortholog_one2one	0	33.3333	31.4465	100	1.66
ENSMUSG00000046792	Zfp787	7	6131491	6155997	-1	ENSG00000142409	ZNF787	19	56087366	56121295	ortholog_one2one	1	92.9134	92.6702	75	100
ENSMUSG00000047013	Fbxo41	6	85469574	85502994	-1	ENSG00000163013	FBXO41	2	73254682	73284431	ortholog_one2one	1	97.1363	96.9143	100	100
ENSMUSG00000047720	Clec2m	6	129322164	129331796	-1	ENSG00000205810	KLRC3	12	10412312	10420595	ortholog_many2many	0	16.4021	12.0623	0	NA
ENSMUSG00000047720	Clec2m	6	129322164	129331796	-1	ENSG00000255641	AC068775.1	12	10412312	10436001	ortholog_many2many	0	14.8148	11.6667	0	NA
ENSMUSG00000047720	Clec2m	6	129322164	129331796	-1	ENSG00000205809	KLRC2	12	10426854	10442300	ortholog_many2many	0	14.8148	12.1212	0	NA
ENSMUSG00000047720	Clec2m	6	129322164	129331796	-1	ENSG00000134545	KLRC1	12	10442264	10454685	ortholog_many2many	0	14.8148	12.0172	0	NA
ENSMUSG00000047720	Clec2m	6	129322164	129331796	-1	ENSG00000183542	KLRC4	12	10407382	10409757	ortholog_many2many	0	6.87831	8.22785	0	NA
ENSMUSG00000047720	Clec2m	6	129322164	129331796	-1	ENSG00000255819	KLRC4-KLRK1	12	10372353	10410146	ortholog_many2many	0	6.87831	8.66667	0	NA
ENSMUSG00000049112	Oxtr	6	112473683	112489943	-1	ENSG00000180914	OXTR	3	8750408	8769628	ortholog_one2one	1	92.268	92.0308	100	100
ENSMUSG00000049694	BC048671	6	90301219	90305449	1	ENSG00000180697	C3orf22	3	126526999	126558965	ortholog_one2one	0	45.9854	44.6809	100	100
ENSMUSG00000051184	Zfp524	7	5014415	5018488	1	ENSG00000171443	ZNF524	19	55600022	55603138	ortholog_one2many	1	65.7321	79.9242	100	100
ENSMUSG00000051550	Zfp579	7	4983483	4996158	-1	ENSG00000218891	ZNF579	19	55576774	55580848	ortholog_one2one	1	89.1459	89.1459	100	100
ENSMUSG00000051811	Cox6b2	7	4751792	4753094	-1	ENSG00000160471	COX6B2	19	55349306	55354719	ortholog_one2one	1	79.5455	79.5455	100	100
ENSMUSG00000053004	Hrh1	6	114397936	114483296	1	ENSG00000196639	HRH1	3	11137093	11263557	ortholog_one2one	1	78.0738	78.2341	100	100
ENSMUSG00000053338	Tarm1	7	3486500	3502624	-1	ENSG00000248385	TARM1	19	54069895	54081365	ortholog_one2one	0	44.7917	46.2366	100	91.58
ENSMUSG00000053395	Cacng8	7	3390683	3415648	1	ENSG00000142408	CACNG8	19	53963040	53990215	ortholog_one2one	1	94.0898	93.6471	100	100
ENSMUSG00000053550	Shisa7	7	4825552	4844696	-1	ENSG00000187902	SHISA7	19	55428740	55442863	ortholog_one2one	1	90.9427	91.4498	100	100
ENSMUSG00000054893	Zfp667	7	6286579	6307883	1	ENSG00000198046	ZNF667	19	56439325	56478065	ortholog_one2one	1	74.3842	74.2623	50	93.79
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000164256	PRDM9	5	23443586	23528597	ortholog_many2many	0	31.4453	18.0089	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000132010	ZNF20	19	12092843	12140355	ortholog_many2many	0	35.1562	33.8346	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000172006	ZNF554	19	2819868	2836735	ortholog_many2many	0	34.375	32.7138	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000188295	ZNF669	1	247099962	247104372	ortholog_many2many	0	28.3203	31.25	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000251192	ZNF674	X	46497727	46545457	ortholog_many2many	0	39.6484	34.9398	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000147121	KRBOX4	X	46447292	46497422	ortholog_many2many	0	9.375	28.0702	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000198028	ZNF560	19	9466355	9498616	ortholog_many2many	0	38.2812	24.8101	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000196418	ZNF124	1	247121975	247172016	ortholog_many2many	0	29.1016	42.4501	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000214029	ZNF891	12	133106817	133130473	ortholog_many2many	0	33.7891	31.8015	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000130684	ZNF337	20	25673195	25696853	ortholog_many2many	0	35.9375	24.5007	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000172000	ZNF556	19	2867335	2883445	ortholog_many2many	0	28.7109	32.2368	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000177599	ZNF491	19	11797667	11809622	ortholog_many2many	0	25.3906	29.7483	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000197054	ZNF763	19	11965037	11980617	ortholog_many2many	0	21.6797	27.9597	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000267179	AC008770.2	19	11925075	11979290	ortholog_many2many	0	21.6797	26.8116	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000171291	ZNF439	19	11848726	11883750	ortholog_many2many	0	31.0547	31.8637	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000198429	ZNF69	19	11887782	11914329	ortholog_many2many	0	3.32031	11.4094	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000171295	ZNF440	19	11814273	11835216	ortholog_many2many	0	32.6172	28.0672	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000196946	ZNF705A	12	8157034	8188537	ortholog_many2many	0	19.3359	33	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000215343	ZNF705D	8	12104389	12115516	ortholog_many2many	0	19.1406	32.6667	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000215356	ZNF705B	8	7926337	7952413	ortholog_many2many	0	19.3359	33	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000215372	ZNF705G	8	7355517	7385558	ortholog_many2many	0	18.5547	31.6667	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000214534	ZNF705E	11	71814045	71821548	ortholog_many2many	0	19.1406	32.6667	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000186230	ZNF749	19	57435325	57447101	ortholog_many2many	0	36.5234	24.036	0	NA
ENSMUSG00000055150	Zfp78	7	6363280	6382605	1	ENSG00000186300	ZNF555	19	2841437	2860471	ortholog_many2many	0	36.5234	29.7771	0	NA
ENSMUSG00000055541	Lair1	7	4003402	4063204	-1	ENSG00000167613	LAIR1	19	54351384	54370558	ortholog_one2one	0	44.8669	41.115	100	62.93
ENSMUSG00000055633	Zfp580	7	5051538	5053723	1	ENSG00000213015	ZNF580	19	55635016	55643470	ortholog_one2one	1	97.093	97.093	75	100
ENSMUSG00000055809	Dnaaf3	7	4522933	4532453	-1	ENSG00000267110	AC010327.2	19	55154757	55160671	ortholog_one2many	0	16.7235	56.9767	100	77.88
ENSMUSG00000055809	Dnaaf3	7	4522933	4532453	-1	ENSG00000167646	DNAAF3	19	55158661	55166722	ortholog_one2many	1	67.0648	64.6382	100	97.08
ENSMUSG00000059639	Clec4a4	6	122990367	123024105	1	ENSG00000198178	CLEC4C	12	7729415	7751605	ortholog_one2many	0	35.1695	38.9671	0	0.94
ENSMUSG00000059851	Kmt5c	7	4740115	4747514	1	ENSG00000133247	KMT5C	19	55339853	55348121	ortholog_one2one	1	79.0598	80.0866	100	100
ENSMUSG00000061374	Fiz1	7	5007059	5014697	-1	ENSG00000179943	FIZ1	19	55591376	55601970	ortholog_one2one	1	86	86.6936	100	100
ENSMUSG00000062524	Ncr1	7	4337724	4345164	1	ENSG00000189430	NCR1	19	54906148	54916140	ortholog_one2one	1	57.2308	61.1842	100	100
ENSMUSG00000063838	Cdc42ep5	7	4151260	4164860	-1	ENSG00000167617	CDC42EP5	19	54465026	54473296	ortholog_one2one	1	78.6667	79.7297	100	100
ENSMUSG00000064179	Tnnt1	7	4504570	4516382	-1	ENSG00000105048	TNNT1	19	55132698	55149206	ortholog_one2one	1	94.6565	89.2086	100	100
ENSMUSG00000067338	Tuba3b	6	145615757	145621479	1	ENSG00000075886	TUBA3D	2	131476119	131482934	ortholog_one2one	1	100	100	0	100
ENSMUSG00000067767	Clec4b2	6	123172893	123204671	1	ENSG00000198178	CLEC4C	12	7729415	7751605	ortholog_one2many	0	47.1154	46.0094	0	NA
ENSMUSG00000067825	Pex26	6	121183667	121198837	1	ENSG00000215193	PEX26	22	18077920	18131138	ortholog_one2one	1	74.4262	74.4262	100	100
ENSMUSG00000072875	Gpr27	6	99692679	99695066	1	ENSG00000170837	GPR27	3	71753855	71756496	ortholog_one2one	1	96.0422	97.0667	100	100
ENSMUSG00000074405	Zfp865	7	5020376	5036768	1	ENSG00000261221	ZNF865	19	55605405	55617269	ortholog_one2one	1	88.5633	88.4797	100	100
ENSMUSG00000085272	Sbk3	7	4965260	4971168	-1	ENSG00000231274	SBK3	19	55540656	55545543	ortholog_one2one	1	83.6257	79.6657	100	100
ENSMUSG00000092518	Fam71e2	7	4753226	4771302	-1	ENSG00000267706	AC020922.1	19	55352301	55359516	ortholog_one2many	0	17.7719	28.3898	100	100
ENSMUSG00000092518	Fam71e2	7	4753226	4771302	-1	ENSG00000180043	FAM71E2	19	55354908	55363260	ortholog_one2many	0	44.695	36.551	100	100
ENSMUSG00000094113	5430401F13Rik	6	131486400	131553763	1	ENSG00000198670	LPA	6	160531483	160664259	ortholog_one2many	0	9.71429	0.833333	0	NA
ENSMUSG00000094973	Eif4a3l1	6	136327539	136329983	1	ENSG00000141543	EIF4A3	17	80134369	80147151	ortholog_one2many	0	96.837	96.837	0	NA
ENSMUSG00000095577	Gm6619	6	131486400	131491493	1	ENSG00000198670	LPA	6	160531483	160664259	ortholog_one2many	0	9.71429	0.833333	0	NA
ENSMUSG00000107906	Eif4a3l2	6	116551141	116552502	1	ENSG00000141543	EIF4A3	17	80134369	80147151	ortholog_one2many	0	97.8102	97.8102	0	NA
ENSMUSG00000109129	Gm44973	7	5015496	5033097	1	ENSG00000171443	ZNF524	19	55600022	55603138	ortholog_one2many	1	86.7725	62.1212	100	100
ENSMUSG00000002043	Trappc6a	7	19508395	19516145	1	ENSG00000007255	TRAPPC6A	19	45162928	45178237	ortholog_one2one	1	83.0189	76.3006	100	100
ENSMUSG00000002635	Pdcd2l	7	34184499	34196661	-1	ENSG00000266953	AC092073.1	19	34396315	34409364	ortholog_one2many	0	26.0989	45.4545	100	100
ENSMUSG00000002635	Pdcd2l	7	34184499	34196661	-1	ENSG00000126249	PDCD2L	19	34404399	34426168	ortholog_one2many	1	70.3297	71.5084	100	100
ENSMUSG00000002963	Pnkp	7	44857139	44862992	1	ENSG00000039650	PNKP	19	49859882	49878351	ortholog_one2one	1	80.8429	80.9981	100	100
ENSMUSG00000002980	Bcam	7	19756131	19771016	-1	ENSG00000187244	BCAM	19	44809071	44821421	ortholog_one2one	1	72.9904	72.293	100	100
ENSMUSG00000002985	Apoe	7	19696109	19699188	-1	ENSG00000130203	APOE	19	44905791	44909393	ortholog_one2one	1	71.7042	70.347	100	100
ENSMUSG00000003184	Irf3	7	44997648	45002848	1	ENSG00000126456	IRF3	19	49659569	49665875	ortholog_one2one	1	55.1313	51.1062	100	100
ENSMUSG00000003273	Car11	7	45699843	45704682	1	ENSG00000063180	CA11	19	48637946	48646187	ortholog_one2one	1	96.6463	96.6463	100	100
ENSMUSG00000003379	Cd79a	7	24897381	24902197	1	ENSG00000105369	CD79A	19	41877279	41881372	ortholog_one2one	1	70.9091	69.0266	100	100
ENSMUSG00000003549	Ercc1	7	19344778	19356524	1	ENSG00000012061	ERCC1	19	45407333	45478828	ortholog_one2one	1	82.8859	76.4706	100	97.71
ENSMUSG00000003863	Ppfia3	7	45339122	45367019	-1	ENSG00000177380	PPFIA3	19	49119544	49151026	ortholog_one2one	1	98.0737	98.0737	100	100
ENSMUSG00000003872	Lin7b	7	45367891	45370583	-1	ENSG00000104863	LIN7B	19	49114324	49118460	ortholog_one2one	1	98.0676	98.0676	100	100
ENSMUSG00000004473	Clec11a	7	44302687	44306902	-1	ENSG00000105472	CLEC11A	19	50723364	50725718	ortholog_one2one	1	82.9268	84.2105	100	100
ENSMUSG00000004609	Cd33	7	43524216	43544428	-1	ENSG00000105383	CD33	19	51225064	51243860	ortholog_one2many	0	37.2208	41.2088	50	NA
ENSMUSG00000006311	Etv2	7	30633616	30635852	-1	ENSG00000105672	ETV2	19	35641745	35644871	ortholog_one2one	1	68.6567	67.2515	100	100
ENSMUSG00000006315	Tmem147	7	30727701	30729540	-1	ENSG00000105677	TMEM147	19	35545600	35547526	ortholog_one2one	1	99.1071	99.1071	100	100
ENSMUSG00000007783	Cpt1c	7	44959372	44974851	-1	ENSG00000169169	CPT1C	19	49690898	49713731	ortholog_one2one	1	83.7093	83.188	100	100
ENSMUSG00000007837	Prrg2	7	45053584	45062677	-1	ENSG00000126460	PRRG2	19	49580646	49591004	ortholog_one2one	1	80.303	78.7129	100	100
ENSMUSG00000008028	1700008O03Rik	7	44360043	44385820	-1	ENSG00000235034	C19orf81	19	50649445	50659310	ortholog_one2one	1	79.0816	78.2828	100	100
ENSMUSG00000008036	Ap2s1	7	16738410	16749294	1	ENSG00000042753	AP2S1	19	46838136	46850992	ortholog_one2one	1	99.2958	89.2405	100	100
ENSMUSG00000008140	Emc10	7	44489937	44496529	-1	ENSG00000161671	EMC10	19	50476400	50490870	ortholog_one2one	1	83.209	85.1145	100	100
ENSMUSG00000011096	Akt1s1	7	44848991	44855421	1	ENSG00000204673	AKT1S1	19	49869033	49878459	ortholog_one2one	1	90.4594	92.7536	100	100
ENSMUSG00000011263	Exoc3l2	7	19463331	19496762	1	ENSG00000283632	EXOC3L2	19	45212621	45245431	ortholog_one2one	0	46.1343	88.9976	100	100
ENSMUSG00000011349	Dmrtc2	7	24870057	24877651	1	ENSG00000142025	DMRTC2	19	41844743	41852333	ortholog_one2one	1	80.8108	81.4714	50	100
ENSMUSG00000019370	Calm3	7	16915379	16924114	-1	ENSG00000160014	CALM3	19	46601074	46610782	ortholog_one2one	1	100	100	100	100
ENSMUSG00000019539	Rcn3	7	45082913	45092221	-1	ENSG00000142552	RCN3	19	49528003	49546962	ortholog_one2one	1	92.6829	92.6829	100	100
ENSMUSG00000020420	Zfp607a	7	27857527	27880825	1	ENSG00000197782	ZNF780A	19	40069152	40090938	ortholog_one2many	0	53.207	56.8536	50	NA
ENSMUSG00000030409	Dmpk	7	19083849	19093821	1	ENSG00000104936	DMPK	19	45769717	45782552	ortholog_one2one	1	78.6054	77.6213	100	100
ENSMUSG00000030469	Zfp719	7	43579610	43593235	1	ENSG00000196456	ZNF775	7	150368790	150398630	ortholog_one2many	0	20.2721	27.7467	0	NA
ENSMUSG00000030472	Ceacam18	7	43634707	43649295	1	ENSG00000213822	CEACAM18	19	51478622	51490952	ortholog_one2one	1	54.7872	53.6458	25	100
ENSMUSG00000030474	Siglece	7	43651070	43660161	-1	ENSG00000129450	SIGLEC9	19	51124908	51136651	ortholog_one2many	0	46.4668	45.3027	50	93.26
ENSMUSG00000030474	Siglece	7	43651070	43660161	-1	ENSG00000105366	SIGLEC8	19	51450847	51458456	ortholog_one2many	1	54.3897	50.9018	25	90.69
ENSMUSG00000030474	Siglece	7	43651070	43660161	-1	ENSG00000254521	SIGLEC12	19	51491227	51501800	ortholog_one2many	0	51.1777	40.1681	0	91.02
ENSMUSG00000030474	Siglece	7	43651070	43660161	-1	ENSG00000168995	SIGLEC7	19	51142299	51153526	ortholog_one2many	1	51.3919	51.3919	50	99.24
ENSMUSG00000030484	Lypd5	7	24349196	24355109	1	ENSG00000159871	LYPD5	19	43785874	43827206	ortholog_one2one	1	68.75	70.1195	50	100
ENSMUSG00000030486	Zfp108	7	24254794	24262445	1	ENSG00000159915	ZNF233	19	44259880	44275317	ortholog_one2many	0	44.2368	42.3881	25	NA
ENSMUSG00000030491	Tdrd12	7	35469098	35537745	-1	ENSG00000173809	TDRD12	19	32719753	32829580	ortholog_one2one	1	68.059	70.1266	100	100
ENSMUSG00000030587	2200002D01Rik	7	29246561	29248466	-1	ENSG00000267748	AC011479.2	19	38289151	38304910	ortholog_one2many	0	24.5614	18.3007	75	100
ENSMUSG00000030587	2200002D01Rik	7	29246561	29248466	-1	ENSG00000167644	C19orf33	19	38304164	38305006	ortholog_one2many	1	56.1404	60.3774	75	100
ENSMUSG00000030604	Zfp626	7	27807196	27822916	1	ENSG00000197782	ZNF780A	19	40069152	40090938	ortholog_one2many	0	55.9172	58.8785	50	NA
ENSMUSG00000030693	Klk10	7	43781035	43785410	1	ENSG00000129451	KLK10	19	51012739	51020175	ortholog_one2one	1	67.2662	67.7536	100	99.97
ENSMUSG00000030731	Syt3	7	44384102	44400187	1	ENSG00000213023	SYT3	19	50621307	50639881	ortholog_one2one	1	95.9114	95.4237	100	100
ENSMUSG00000030739	Myh14	7	44605803	44670843	-1	ENSG00000105357	MYH14	19	50188186	50310542	ortholog_one2one	1	92.45	90.8153	100	100
ENSMUSG00000030792	Dkkl1	7	45207519	45212147	-1	ENSG00000104901	DKKL1	19	49361783	49375116	ortholog_one2one	1	62.6087	59.5041	100	99.36
ENSMUSG00000031493	Ggn	7	29170210	29173976	1	ENSG00000179168	GGN	19	38384267	38388082	ortholog_one2one	1	67.4189	73.3129	100	100
ENSMUSG00000034071	Zfp551	7	12415153	12422751	-1	ENSG00000204519	ZNF551	19	57681969	57717301	ortholog_one2one	1	59.3391	61.6418	25	99.51
ENSMUSG00000036459	Wtip	7	34109543	34133268	-1	ENSG00000142279	WTIP	19	34481758	34512304	ortholog_one2one	1	87.4372	80.9302	100	100
ENSMUSG00000036570	Fxyd1	7	31051678	31057199	-1	ENSG00000266964	FXYD1	19	35138808	35143109	ortholog_one2one	1	82.6087	82.6087	100	100
ENSMUSG00000036634	Mag	7	30899176	30914873	-1	ENSG00000105695	MAG	19	35292125	35313807	ortholog_one2one	1	93.1272	86.5815	100	100
ENSMUSG00000036957	Lrfn3	7	30355489	30362772	-1	ENSG00000126243	LRFN3	19	35935358	35946624	ortholog_one2one	1	96.0064	95.7006	100	100
ENSMUSG00000037337	Map4k1	7	28982050	29003279	1	ENSG00000104814	MAP4K1	19	38587641	38618882	ortholog_one2one	1	82.7086	82.1128	100	98.26
ENSMUSG00000037640	Zfp60	7	27731389	27753702	1	ENSG00000197782	ZNF780A	19	40069152	40090938	ortholog_one2many	0	48.8636	53.5826	50	95.14
ENSMUSG00000038239	Hrc	7	45335290	45338974	1	ENSG00000130528	HRC	19	49151198	49155396	ortholog_one2one	1	50.1355	52.9328	100	98.99
ENSMUSG00000038260	Trpm4	7	45302632	45333780	-1	ENSG00000130529	TRPM4	19	49157741	49211836	ortholog_one2one	1	82.6876	82.6194	100	100
ENSMUSG00000038292	Ccdc155	7	45183624	45204892	-1	ENSG00000161609	CCDC155	19	49388219	49417990	ortholog_one2one	1	62.5	72.0641	100	100
ENSMUSG00000038387	Rras	7	45017961	45021647	1	ENSG00000126458	RRAS	19	49635292	49640143	ortholog_one2one	1	94.4954	94.4954	100	100
ENSMUSG00000038406	Scaf1	7	45002948	45016363	-1	ENSG00000126461	SCAF1	19	49642209	49658642	ortholog_one2one	1	88.7739	84.9848	100	100
ENSMUSG00000038502	Ptov1	7	44863067	44869788	-1	ENSG00000104960	PTOV1	19	49850735	49860744	ortholog_one2one	1	95.6731	95.6731	100	100
